nomes,idade,cidade,estado,cpf,cnpj,cpf_status,cnpj_status
Dennis Daniels,31,Acrelândia,AC,97566536800,06589184909526,Valido,Valido
Leah Becker,42,Água Branca,AL,42526380707,25673336235020,Valido,Valido
Sally Ford,18,Alvarães,AM,34647754103,26543101702989,Valido,Valido
Colleen Duncan,21,Serra Do Navio,AP,25253156003,19062080510098,Valido,Valido
Jeff Stephenson,73,Abaíra,BA,49668886542,97794530015384,Valido,Valido
Sydney Curtis,85,Abaiara,CE,50620290749,29476298085678,Valido,Valido
Kelly Matthews,44,Brasília,DF,39154836808,24709301957761,Valido,Valido
Juan Ruiz,39,Afonso Cláudio,ES,22688119648,02420338147900,Valido,Valido
Brian Thomas,26,Abadia De Goiás,GO,47475484084,70723419110335,Valido,Valido
Sara Ayers,62,Açailândia,MA,94830978864,88253689548382,Valido,Valido
Brady Cruz,83,Abadia Dos Dourados,MG,03438452456,13118105069639,Valido,Valido
Samantha Wright,32,Água Clara,MS,22203654090,04310317320252,Valido,Valido
Richard Turner,85,Acorizal,MT,79059712285,75595541223248,Valido,Valido
Ashley Sanders,73,Abaetetuba,PA,75206513989,06923815165128,Valido,Valido
Thomas Jones,45,Água Branca,PB,34565179806,26574533273304,Valido,Valido
Ian Murray,68,Abreu E Lima,PE,15277717099,85202887368851,Valido,Valido
Janice Jensen,79,Acauã,PI,45081993646,89596067898809,Valido,Valido
Jeffrey Cunningham,48,Abatiá,PR,66549028825,18866688344242,Valido,Valido
Amanda Glass,49,Angra Dos Reis,RJ,86173803577,87380936406714,Valido,Valido
Kaitlyn Johnson,65,Acari,RN,89737004213,40893546741494,Valido,Valido
Daniel Nelson,56,Alta Floresta D'oeste,RO,21019230681,39414072702140,Valido,Valido
Jimmy Neal,47,Amajari,RR,85072768490,25910961614308,Valido,Valido
Amy Ramirez,59,Aceguá,RS,47660084135,27054334917081,Valido,Valido
Andrew Chapman Md,55,Abdon Batista,SC,64597685286,26848890535610,Valido,Valido
Ronnie Vazquez,42,Amparo De São Francisco,SE,85268818848,10194559328639,Valido,Valido
Eric Leonard Dds,48,Adamantina,SP,03802580133,53997444309399,Valido,Valido
Cheryl Daniel,81,Abreulândia,TO,41518337651,16558428654046,Valido,Valido
John Gutierrez,75,Acrelândia,AC,48579786444,51477910241483,Valido,Valido
Carla White,26,Água Branca,AL,87007608116,54785062054510,Valido,Valido
Scott Clark,86,Alvarães,AM,01086471296,22967376001699,Valido,Valido
Kelsey Hicks,22,Serra Do Navio,AP,73800120704,54407698631932,Valido,Valido
Tanya Boyd,88,Abaíra,BA,35813255605,08803153461585,Valido,Valido
David Garcia,31,Abaiara,CE,10210388811,65359727572419,Valido,Valido
Michelle Sullivan,45,Brasília,DF,60338450726,18355115649365,Valido,Valido
Paula Wells,55,Afonso Cláudio,ES,31166242919,41934462986603,Valido,Valido
Lisa Fisher,49,Abadia De Goiás,GO,33626344436,79856843725548,Valido,Valido
Kayla Martin,79,Açailândia,MA,49643966062,24202707261295,Valido,Valido
Kathryn Johnson,28,Abadia Dos Dourados,MG,14503645510,14740883542900,Valido,Valido
Craig Wallace,51,Água Clara,MS,72852203456,52726400968055,Valido,Valido
Haley Serrano,31,Acorizal,MT,00904064000,82175250951962,Valido,Valido
Thomas Lindsey,88,Abaetetuba,PA,13577872004,47759550719238,Valido,Valido
Andrew Francis,69,Água Branca,PB,06694239980,52081659158337,Valido,Valido
Tiffany Dean,44,Abreu E Lima,PE,10858476401,92164335193964,Valido,Valido
Michael Thompson,76,Acauã,PI,75747818694,18684837331789,Valido,Valido
Dalton Summers,50,Abatiá,PR,09507015728,08475711599204,Valido,Valido
Debra Jennings,58,Angra Dos Reis,RJ,54816784896,69500353849608,Valido,Valido
Andrew Olson,88,Acari,RN,99281336383,92393983639915,Valido,Valido
